LEVEL_1_CASE_TYPE,CASE_NUMBER,CASE_HASHKEY,LEVEL_2_CASE_TYPE,DOCUMENT_ID,DOCUMENT_FILED_DATE,DOCUMENT_NAME,SOURCE_SYSTEM_ID,DOCUMENT_HASHKEY,DOCUMENT_TYPE,DOCUMENT_NUMBER,DOCUMENT_NAME_DRIVE,LINK_DRIVE
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97816434,2024-01-04 00:00:00.000,Complaint,2,86823745788786390855016974805509641,Complaint,COM040,complaint_24chlc00247_97816434,https://drive.google.com/file/d/13jP3wthP8ze2FT5GAqDBPOHWhbQmidR5/view?usp=drivesdk
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97816435,2024-01-04 00:00:00.000,Civil Case Cover Sheet,2,989429170419695492568584271478952462,Miscellaneous,MISC020,,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97816436,2024-01-04 00:00:00.000,Declaration (name extension),2,1218671013552363598215864840437388591,Declaration,DEC010,declaration_24chlc00247_97816436,https://drive.google.com/file/d/194bFsqXe4ahLGedN6vXahpLl7Gh2j1oZ/view?usp=drivesdk
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97816437,2024-01-04 00:00:00.000,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),2,970277300663871267654981026982846114,Declaration,DEC075,declaration_24chlc00247_97816437,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97816438,2024-01-04 00:00:00.000,Summons,2,634002074020530002888768952811744967,Issuance,ISS030,,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97816439,2024-01-04 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",2,159632302411046120345302338200250174,Order to Show Cause,OSC030,,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97816441,2024-01-04 00:00:00.000,Notice of Case Assignment - Limited Civil Case,2,799614538275911062135572794619675662,Notice,NTC040L,,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",97887732,2024-01-09 00:00:00.000,Proof of Personal Service,2,186927500507131068985183253768399680,Proof of Service,POS110,,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99079611,2024-03-06 00:00:00.000,Request for Entry of Default / Judgment,2,841148273566154915498618082863909613,Request,REQ080,request_for_default_judgment_24chlc00247_99079611,https://drive.google.com/file/d/1PdHROGosvZ5pY7cbFz8gUUz52Ja8lOeL/view?usp=drivesdk
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99079612,2024-03-06 00:00:00.000,Declaration (name extension),2,1129347960069358850635139812971889754,Declaration,DEC010,declaration_24chlc00247_99079612,https://drive.google.com/file/d/1CZGeYCQ-JOEzvOBSy3Nh2KlzRgLoIq5x/view?usp=drivesdk
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99079613,2024-03-06 00:00:00.000,Declaration (name extension),2,561530199566437011357321441950061787,Declaration,DEC010,declaration_24chlc00247_99079613,https://drive.google.com/file/d/1HWacKMyH24ei7jU8PtkAqPVGpTOq2JmE/view?usp=drivesdk
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99079614,2024-03-06 00:00:00.000,Declaration re: Attorney's Fees,2,693547251673282501938202421307464627,Declaration,DEC080,declaration_24chlc00247_99079614,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99079617,2024-03-06 00:00:00.000,Request for Dismissal,2,1009351264370980048798741652008177627,Request,REQ070,,
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99079618,2024-03-06 00:00:00.000,Declaration (name extension),2,391539974115060648912114387482100426,Declaration,DEC010,declaration_24chlc00247_99079618,https://drive.google.com/file/d/1TZqOMlW1KcIXzfPw6keVfpOd-xGj4cR6/view?usp=drivesdk
Collections,24CHLC00247,413524874617169216,"Collections Case - Purchased Debt (Charged Off Consumer Debt Purchased on or after January 1,2014)",99079616,2024-03-07 00:00:00.000,Default Judgment,2,28144813771692314672171156753086513,Judgment,JUD020,,
