CASE_NUMBER,DOCUMENT_ID,DOCUMENT_FILED_DATE,DOCUMENT_NAME,DOCUMENT_NAME_DRIVE,LINK_DRIVE
23CHLC04088,91598076,2023-02-14 00:00:00.000,Complaint,complaint_23chlc04088_91598076,https://drive.google.com/file/d/1QQ2jhATpelBlSJpBktarybpRtwsPBrWh/view?usp=drivesdk
23CHLC04088,91598077,2023-02-14 00:00:00.000,Summons,,
23CHLC04088,91598078,2023-02-14 00:00:00.000,Declaration (name extension),declaration_23chlc04088_91598078,https://drive.google.com/file/d/1akavBwhSn4GrOoSbMQYPKyLy8MEkrYhs/view?usp=drivesdk
23CHLC04088,91598079,2023-02-14 00:00:00.000,Civil Case Cover Sheet,,
23CHLC04088,91598080,2023-02-14 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23CHLC04088,91598081,2023-02-14 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23CHLC04088,91934476,2023-03-07 00:00:00.000,Proof of Personal Service,,
23CHLC04088,98714888,2024-02-20 00:00:00.000,Minute Order,,
23CHLC04088,103850347,2024-10-21 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc04088_103850347,https://drive.google.com/file/d/1v9vBpNwvozZlMBGdLVOdywAvKmi4qWSb/view?usp=drivesdk
23CHLC04088,103850348,2024-10-21 00:00:00.000,Declaration (name extension),declaration_23chlc04088_103850348,https://drive.google.com/file/d/11YyKUIK5Wz_ruR1MsTPgXEHS0Fsu8wZA/view?usp=drivesdk
23CHLC04088,103850349,2024-10-21 00:00:00.000,Declaration (name extension),declaration_23chlc04088_103850349,https://drive.google.com/file/d/1M3LNB_FJvI235EdmQxpTwmbOSd6E_7S7/view?usp=drivesdk
23CHLC04088,103850350,2024-10-21 00:00:00.000,Request for Dismissal,,
23CHLC04088,103850353,2024-10-21 00:00:00.000,Declaration Pursuant to 585 CCP in Support of Default Judgment,declaration_23chlc04088_103850353,https://drive.google.com/file/d/1sxKSMjdNUuHzg34Z1qWI6izXAmewakN4/view?usp=drivesdk
23CHLC04088,103850351,2024-10-22 00:00:00.000,Order (name extension),,
23CHLC04088,103850352,2024-10-23 00:00:00.000,Default Judgment,,
23CHLC04088,107477402,2025-04-07 00:00:00.000,Notice (name extension),,
23CHLC04088,107477401,2025-04-08 00:00:00.000,Abstract of Judgment - Civil and Small Claims,,
23CHLC12118,93063550,2023-05-05 00:00:00.000,Complaint,complaint_23chlc12118_93063550,https://drive.google.com/file/d/1IZ3WK0PlH0RXB_3Opx0pgp7gnuM46lvD/view?usp=drivesdk
23CHLC12118,93063551,2023-05-05 00:00:00.000,Civil Case Cover Sheet,,
23CHLC12118,93063552,2023-05-05 00:00:00.000,Summons,,
23CHLC12118,93063553,2023-05-05 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23CHLC12118,93063554,2023-05-05 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23CHLC12118,93493205,2023-05-26 00:00:00.000,Proof of Service by Substituted Service,,
23CHLC12118,100018709,2024-04-19 00:00:00.000,Minute Order,,
23CHLC12118,100018710,2024-04-19 00:00:00.000,Certificate of Mailing for,,
23CHLC12118,100981000,2024-06-06 00:00:00.000,Declaration (name extension),declaration_23chlc12118_100981000,https://drive.google.com/file/d/1bxNbJUU1jFHD9loEDvDNLyHO9K4XUcNd/view?usp=drivesdk
23CHLC12118,101237094,2024-06-18 00:00:00.000,Minute Order,,
23CHLC12118,103723014,2024-10-15 00:00:00.000,Request for Dismissal,,
23CHLC12118,103723016,2024-10-15 00:00:00.000,Request for Entry of Default / Judgment,request_for_default_judgment_23chlc12118_103723016,https://drive.google.com/file/d/1m5fQzjbfWP8aYFqUFDIFF64UX332-HvO/view?usp=drivesdk
23CHLC12118,103723015,2024-10-17 00:00:00.000,Default Judgment,,
23CHLC12118,105304712,2024-12-31 00:00:00.000,Abstract of Judgment - Civil and Small Claims,,
23CHLC12580,93145777,2023-05-09 00:00:00.000,Complaint,complaint_23chlc12580_93145777,https://drive.google.com/file/d/1YRrwT3tTdAIYBseinC0nbYb9myLEBEQ0/view?usp=drivesdk
23CHLC12580,93145778,2023-05-09 00:00:00.000,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),declaration_23chlc12580_93145778,
23CHLC12580,93145779,2023-05-09 00:00:00.000,Summons,,
23CHLC12580,93145780,2023-05-09 00:00:00.000,Civil Case Cover Sheet,,
23CHLC12580,93145785,2023-05-09 00:00:00.000,"Order to Show Cause Hearing/Case Management Review (Cal. Rules of Court, rule 3.740)",,
23CHLC12580,93145786,2023-05-09 00:00:00.000,Notice of Case Assignment - Limited Civil Case,,
23CHLC12580,94828066,2023-08-04 00:00:00.000,Proof of Service by Substituted Service,,
